cohort,family,case,forbidden_transition_accepted,exception_type,detail
PRIMARY,F1_WRONG_CAPABILITY_CLASS,69,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,70,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,71,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,72,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,73,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,74,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,75,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,76,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,77,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,78,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,79,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,80,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,81,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,82,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,83,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,84,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,85,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,86,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,87,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,88,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
PRIMARY,F1_WRONG_CAPABILITY_CLASS,89,0,IllegalTransition,"expected PREDICTIVE, got OBSERVED"
